region,year,tourism_nights
CZ05,2020.0,3237689.0
CZ06,2020.0,1930040.0
CZ07,2020.0,1761795.0
CZ08,2020.0,890233.0
DE11,2020.0,4237579.0
DE12,2020.0,3817135.0
DE13,2020.0,5427957.0
DE14,2020.0,2825265.0
DE21,2020.0,13903665.0
DE22,2020.0,4358544.0
DE23,2020.0,2103017.0
DE24,2020.0,1966630.0
DE25,2020.0,2548836.0
DE26,2020.0,2334604.0
DE27,2020.0,5785130.0
DE30,2020.0,7147756.0
DE40,2020.0,4395400.0
DE50,2020.0,1112420.0
DE60,2020.0,5104991.0
DE71,2020.0,5888834.0
DE72,2020.0,811904.0
DE73,2020.0,2500495.0
DE80,2020.0,9665170.0
DE91,2020.0,2343261.0
DE92,2020.0,2211779.0
DE93,2020.0,2504391.0
DE94,2020.0,4499372.0
DEA1,2020.0,3667880.0
DEA2,2020.0,4141979.0
DEA3,2020.0,1540317.0
DEA4,2020.0,1497575.0
DEA5,2020.0,2679766.0
DEB1,2020.0,2806202.0
DEB2,2020.0,1500563.0
DEB3,2020.0,2418238.0
DEC0,2020.0,695033.0
DED2,2020.0,4156198.0
DED4,2020.0,1824427.0
DED5,2020.0,1882542.0
DEE0,2020.0,3294902.0
DEF0,2020.0,7040815.0
DEG0,2020.0,3730572.0
DK01,2020.0,2578552.0
DK02,2020.0,498435.0
DK03,2020.0,1757258.0
DK04,2020.0,1220610.0
DK05,2020.0,809647.0
EA19,2020.0,454159805.0
EE00,2020.0,1604374.0
EL30,2020.0,1179198.0
EL41,2020.0,295033.0
EL42,2020.0,887634.0
EL43,2020.0,522044.0
EL51,2020.0,481152.0
EL52,2020.0,1286613.0
EL53,2020.0,121843.0
EL54,2020.0,483319.0
EL61,2020.0,706410.0
EL62,2020.0,378008.0
EL63,2020.0,512514.0
EL64,2020.0,594565.0
EL65,2020.0,1107260.0
ES11,2020.0,3094958.0
ES12,2020.0,1724033.0
ES13,2020.0,1234572.0
ES21,2020.0,1715503.0
ES22,2020.0,618233.0
ES23,2020.0,309261.0
ES24,2020.0,2192176.0
ES30,2020.0,4245948.0
ES41,2020.0,2746642.0
ES42,2020.0,1375567.0
ES43,2020.0,939428.0
ES51,2020.0,7149562.0
ES52,2020.0,5867321.0
ES53,2020.0,1855954.0
ES61,2020.0,11332060.0
ES62,2020.0,902298.0
ES63,2020.0,57718.0
ES64,2020.0,44134.0
ES70,2020.0,3745682.0
FI19,2020.0,2115889.0
FI1B,2020.0,1719491.0
FI1C,2020.0,1562645.0
FI1D,2020.0,3366609.0
FI20,2020.0,87045.0
FR10,2020.0,19857601.0
FRB0,2020.0,2745822.0
FRC1,2020.0,2087685.0
FRC2,2020.0,942308.0
FRD1,2020.0,2415213.0
FRD2,2020.0,1426953.0
FRE1,2020.0,2595129.0
FRE2,2020.0,1202539.0
FRF1,2020.0,2414036.0
FRF2,2020.0,1200747.0
FRF3,2020.0,1700764.0
FRG0,2020.0,3683657.0
FRH0,2020.0,4194908.0
FRI1,2020.0,4747933.0
FRI2,2020.0,699648.0
FRI3,2020.0,2566047.0
FRJ1,2020.0,4071469.0
FRJ2,2020.0,3252055.0
FRK1,2020.0,1941314.0
FRK2,2020.0,9716709.0
FRL0,2020.0,9943455.0
FRM0,2020.0,1561920.0
FRY1,2020.0,508758.0
FRY2,2020.0,594709.0
FRY3,2020.0,183020.0
FRY4,2020.0,744674.0
FRY5,2020.0,42022.0
HR02,2020.0,95068.0
HR03,2020.0,1271569.0
HR05,2020.0,111933.0
HR06,2020.0,175656.0
HU11,2020.0,516084.0
HU12,2020.0,425313.0
HU21,2020.0,1157624.0
HU22,2020.0,1872900.0
HU23,2020.0,1098106.0
HU31,2020.0,1205468.0
HU32,2020.0,865146.0
HU33,2020.0,736164.0
IE04,2020.0,1878000.0
IE05,2020.0,3176000.0
IE06,2020.0,1282000.0
IS00,2020.0,745213.0
ITC1,2020.0,2433630.0
ITC2,2020.0,981015.0
ITC3,2020.0,3818101.0
ITC4,2020.0,5713813.0
ITF1,2020.0,2491851.0
ITF2,2020.0,172607.0
ITF3,2020.0,4607572.0
ITF4,2020.0,4805510.0
ITF5,2020.0,920037.0
ITF6,2020.0,3161781.0
ITG1,2020.0,3740827.0
ITG2,2020.0,3007374.0
ITH1,2020.0,6623883.0
ITH2,2020.0,5891515.0
ITH3,2020.0,7246295.0
ITH4,2020.0,1512514.0
ITH5,2020.0,14158530.0
ITI1,2020.0,6241164.0
ITI2,2020.0,1239578.0
ITI3,2020.0,2735700.0
ITI4,2020.0,4131175.0
LI00,2020.0,2325.0
LT01,2020.0,299119.0
LT02,2020.0,1235897.0
LU00,2020.0,205765.0
LV00,2020.0,877630.0
MK00,2020.0,470419.0
MT00,2020.0,545396.0
NL11,2020.0,546777.0
NL12,2020.0,1171865.0
NL13,2020.0,699408.0
NL21,2020.0,1279425.0
NL22,2020.0,2367805.0
NL23,2020.0,180443.0
NL31,2020.0,1121356.0
NL32,2020.0,3964780.0
NL33,2020.0,2564117.0
NL34,2020.0,773627.0
NL41,2020.0,1667015.0
NL42,2020.0,2107889.0
NO02,2020.0,1179228.0
NO06,2020.0,1288279.0
NO07,2020.0,1539092.0
NO08,2020.0,3529401.0
NO09,2020.0,1615238.0
NO0A,2020.0,3502398.0
NO0B,2020.0,47020.0
PL21,2020.0,3326216.0
PL22,2020.0,1825806.0
PL41,2020.0,1193047.0
PL42,2020.0,2026089.0
PL43,2020.0,418709.0
PL51,2020.0,3198820.0
PL52,2020.0,268422.0
PL61,2020.0,911898.0
PL62,2020.0,1404018.0
PL63,2020.0,2700845.0
PL71,2020.0,817674.0
PL72,2020.0,595447.0
PL81,2020.0,777119.0
PL82,2020.0,864542.0
PL84,2020.0,470578.0
PL91,2020.0,1984741.0
PL92,2020.0,528908.0
PT11,2020.0,2164701.0
PT15,2020.0,3543657.0
PT16,2020.0,2020533.0
PT17,2020.0,1621786.0
PT18,2020.0,967195.0
PT20,2020.0,385583.0
PT30,2020.0,468842.0
RO11,2020.0,1117462.0
RO12,2020.0,1948183.0
RO21,2020.0,752379.0
RO22,2020.0,3553363.0
RO31,2020.0,807472.0
RO32,2020.0,608851.0
RO41,2020.0,869233.0
RO42,2020.0,732306.0
RS11,2020.0,217386.0
RS12,2020.0,384281.0
RS21,2020.0,1464614.0
RS22,2020.0,523819.0
SE11,2020.0,4603646.0
SE12,2020.0,2501830.0
SE21,2020.0,1722520.0
SE22,2020.0,2609432.0
SE23,2020.0,3677051.0
SE31,2020.0,1766543.0
SE32,2020.0,1163542.0
SE33,2020.0,1250953.0
SI03,2020.0,1379988.0
SI04,2020.0,1235807.0
SK01,2020.0,350825.0
SK02,2020.0,951281.0
SK03,2020.0,1944136.0
SK04,2020.0,1393334.0
TR10,2020.0,5430383.0
TR21,2020.0,1039530.0
TR22,2020.0,3032640.0
TR31,2020.0,2625825.0
TR32,2020.0,5631048.0
TR33,2020.0,2397819.0
TR41,2020.0,2332408.0
TR42,2020.0,2777152.0
TR51,2020.0,2339766.0
TR52,2020.0,1112831.0
TR61,2020.0,9104418.0
TR62,2020.0,2824538.0
TR63,2020.0,1342192.0
TR71,2020.0,1485128.0
TR72,2020.0,1148349.0
TR81,2020.0,718646.0
TR82,2020.0,611424.0
TR83,2020.0,1134215.0
TR90,2020.0,1576597.0
TRA1,2020.0,950976.0
TRA2,2020.0,618444.0
TRB1,2020.0,898949.0
