region,year,temperature,precipitation
DE24,2021,8.156736,449.1787
DE24,2022,9.795848,392.9205
DE24,2023,9.900377,444.22913
DE25,2010,8.006084,479.6524
DE25,2011,9.6899,378.45898
DE25,2012,9.320298,390.32364
DE25,2013,8.774256,469.98022
DE25,2014,10.398693,392.75455
DE25,2015,10.246326,338.6545
DE25,2016,9.570507,402.4124
DE25,2017,9.589767,468.5335
DE25,2018,10.592847,371.5582
DE25,2019,10.239987,405.3755
DE25,2020,10.234029,406.77548
DE25,2021,8.897435,494.11487
DE25,2022,10.594811,464.28204
DE25,2023,10.728231,466.13123
DE26,2010,8.0771265,515.1062
DE26,2011,9.75985,413.10214
DE26,2012,9.28973,471.344
DE26,2013,8.827067,514.9346
DE26,2014,10.425202,456.36368
DE26,2015,10.172875,385.89383
DE26,2016,9.580022,449.27026
DE26,2017,9.609854,507.6847
DE26,2018,10.698143,379.5967
DE26,2019,10.249261,464.87427
DE26,2020,10.402625,439.94046
DE26,2021,8.983929,550.9815
DE26,2022,10.76295,495.3041
DE26,2023,10.745918,541.6746
DE27,2010,7.5670056,745.3346
DE27,2011,9.159817,604.9528
DE27,2012,8.738687,656.1727
DE27,2013,8.158408,705.7419
DE27,2014,9.65191,608.7532
DE27,2015,9.433242,586.0691
DE27,2016,8.924751,682.8251
DE27,2017,8.929841,694.7718
DE27,2018,9.93153,570.4298
DE27,2019,9.410488,700.49475
DE27,2020,9.483353,651.7344
DE27,2021,8.311847,744.62317
DE27,2022,9.911391,648.5004
DE27,2023,10.131298,715.86707
DE30,2010,8.304201,55.294037
DE30,2011,10.172403,46.027184
DE30,2012,9.560718,47.719955
DE30,2013,9.352554,48.524857
DE30,2014,10.892334,43.818474
DE30,2015,10.642832,41.685104
DE30,2016,10.298187,38.057327
DE30,2017,10.126383,54.330826
DE30,2018,11.097328,29.782295
DE30,2019,11.435597,38.18035
DE30,2020,11.245216,38.711548
DE30,2021,9.846497,50.34256
DE30,2022,11.044827,36.81469
DE30,2023,11.101631,52.164078
DE40,2010,8.216666,1807.6877
DE40,2011,10.062758,1429.3823
DE40,2012,9.492916,1526.2308
DE40,2013,9.309069,1514.4539
DE40,2014,10.79269,1430.6498
DE40,2015,10.4910755,1348.8502
DE40,2016,10.133885,1245.2717
DE40,2017,10.03151,1670.556
DE40,2018,10.92305,969.2402
DE40,2019,11.172361,1261.9362
DE40,2020,11.059848,1244.1844
DE40,2021,9.756277,1576.8242
DE40,2022,10.8383,1240.8257
DE40,2023,10.958549,1717.8097
DE60,2010,8.002525,27.591705
DE60,2011,9.929158,27.119637
